This file contains the monthly mean baseline (background) nitrous oxide (N2O) concentration
"measured at the Kennaook / Cape Grim Baseline Air Pollution Station (KCGBAPS), "
"located near the north-west tip of Tasmania, Australia."
"KCGBAPS is funded and managed by the Australian Bureau of Meteorology, and"
the scientific program is jointly supervised with CSIRO Oceans & Atmosphere.
Please acknowledge these two institutions if these data are used in publications or presentations.

For more information on Kennaook / Cape Grim please see:
http://www.csiro.au/greenhouse-gases/
https://www.csiro.au/en/Research/OandA/Areas/Assessing-our-climate/Greenhouse-gas-data
http://www.bom.gov.au/inside/cgbaps/

The N2O units are parts per billion in dry air (ppb).

The most recent year of data is provided in this file on
a provisional basis only. These data may be subject to further revision. 
CSIRO & the Bureau make every effort to produce the most accurate and 
"precise measurements possible. However, they reserve the right to make"
corrections to the data based on recalibration of standard gases
or for other reasons deemed scientifically justified.
Please see the full terms & conditions at the end of this file.

Release Date: January 2025
 
YYYY,MM,DD,DATE,N2O(ppb),SD(ppb),GR(ppm/yr),Source
1978,4,26,1978.317800000000,299.190,0.230000,NaN,"Kennaook / Cape Grim air archive"
1978,7,7,1978.515100000000,299.550,0.190000,NaN,"Kennaook / Cape Grim air archive"
1980,9,3,1980.674900000000,301.660,0.0700000,NaN,"Kennaook / Cape Grim air archive"
1981,10,5,1981.761600000000,301.840,0.110000,NaN,"Kennaook / Cape Grim air archive"
1984,5,23,1984.393400000000,302.980,0.110000,NaN,"Kennaook / Cape Grim air archive"
1986,2,6,1986.101400000000,304.510,0.0900000,NaN,"Kennaook / Cape Grim air archive"
1986,11,12,1986.865800000000,304.410,0.110000,NaN,"Kennaook / Cape Grim air archive"
1987,1,8,1987.021900000000,304.950,0.120000,NaN,"Kennaook / Cape Grim air archive"
1987,5,28,1987.405500000000,305.320,0.0800000,NaN,"Kennaook / Cape Grim air archive"
1988,6,21,1988.472700000000,305.650,0.0600000,NaN,"Kennaook / Cape Grim air archive"
1989,5,19,1989.380800000000,307.060,0.0400000,NaN,"Kennaook / Cape Grim air archive"
1989,11,8,1989.854800000000,307.490,0.0800000,NaN,"Kennaook / Cape Grim air archive"
1990,2,16,1990.128800000000,307.650,0.120000,NaN,"Kennaook / Cape Grim air archive"
1990,4,26,1990.317800000000,307.570,0.300000,NaN,"Kennaook / Cape Grim air archive"
1990,5,25,1990.397300000000,307.780,0.0600000,NaN,"Kennaook / Cape Grim air archive"
1990,11,13,1990.868500000000,308.270,0.160000,NaN,"Kennaook / Cape Grim air archive"
1990,12,18,1990.964400000000,308.260,0.130000,NaN,"Kennaook / Cape Grim air archive"
1991,6,19,1991.465800000000,308.670,0.0400000,NaN,"Kennaook / Cape Grim air archive"
1992,1,16,1992.043700000000,309.440,0.0700000,NaN,"Kennaook / Cape Grim air archive"
1992,2,12,1992.117500000000,309.290,0.0600000,NaN,"Kennaook / Cape Grim air archive"
1992,3,18,1992.213100000000,309.070,0.0900000,NaN,"Kennaook / Cape Grim air archive"
1992,4,8,1992.270500000000,309.070,0.100000,NaN,"Kennaook / Cape Grim air archive"
1992,8,15,1992.620219000000,309.131,0.353900,NaN,"flask"
1992,9,15,1992.704918000000,309.308,0.289500,NaN,"flask"
1992,10,15,1992.786885000000,309.411,0.292400,NaN,"flask"
1992,11,15,1992.871585000000,309.441,0.323700,NaN,"flask"
1992,12,15,1992.953552000000,309.473,0.102900,NaN,"flask"
1993,1,15,1993.038356000000,309.363,0.230500,NaN,"flask"
1993,2,15,1993.123288000000,309.149,0.455700,0.256989,"flask"
1993,3,15,1993.200000000000,308.891,0.275100,0.174988,"flask"
1993,4,15,1993.284932000000,308.848,0.319700,0.229004,"flask"
1993,5,15,1993.367123000000,309.007,0.164900,0.212982,"flask"
1993,6,15,1993.452055000000,309.033,0.252000,-0.00598145,"flask"
1993,7,15,1993.534247000000,309.144,0.413800,-0.0209961,"flask"
1993,8,15,1993.619178000000,309.388,0.336200,0.207001,"flask"
1993,9,15,1993.704110000000,309.483,0.0824000,0.804016,"flask"
1993,10,15,1993.786301000000,309.640,0.265200,0.847015,"flask"
1993,11,15,1993.871233000000,309.654,0.415300,0.643005,"flask"
1993,12,15,1993.953425000000,309.467,0.0450000,0.973999,"flask"
1994,1,15,1994.038356000000,309.342,0.0350000,0.966980,"flask"
1994,2,15,1994.123288000000,309.356,0.0647000,0.825012,"flask"
1994,3,15,1994.200000000000,309.695,0.184800,0.811005,"flask"
1994,4,15,1994.284932000000,309.695,0.379600,0.531982,"flask"
