# comment: AGAGE GCMS-Medusa measurements. Output from GCWerks. See Miller et al. (2008), https://doi.org/10.1021/ac702084k; Arnold et al. (2012), https://doi.org/10.1021/ac300373e; or Prinn et al. (2018), https://doi.org/10.5194/essd-10-985-2018
# data_owner_email: paul.krummel@csiro.au
# data_owner: Paul Krummel
# station_long_name: Kennaook/Cape Grim, Tasmania, Australia
# inlet_base_elevation_masl: 94.000000
# inlet_latitude: -40.683333
# inlet_longitude: 144.689444
# inlet_comment: multiple inlets have been used at the station, all in close proximity to each other.
# instrument: agilent_5975
# instrument_date: 2012-08-01 00:00:00
# instrument_comment: upgraded MSD detector with generally improved precisions
# instrument_1: agilent_5973
# instrument_date_1: 2004-01-01 00:00:00
# instrument_comment_1: original MSD detector
# data_dir: /agage/capegrim-medusa
# species: hcfc-22
# calibration_scale: SIO-05
# units: ppt
# file_created: 2024-11-11 07:21:03
# flag: B for baseline, P for pollution event
# The time (DD MM YYYY hh min) indicates sample time
# mm/dd/yyyy hh:mm, year, month, day, hour, min, mole_fraction, repeability, flag
01/21/2004 00:38,2004,1,21,0,38,NaN,NaN,-
01/21/2004 01:38,2004,1,21,1,38,NaN,NaN,-
01/21/2004 02:38,2004,1,21,2,38,NaN,NaN,-
01/21/2004 04:59,2004,1,21,4,59,NaN,NaN,-
01/21/2004 05:59,2004,1,21,5,59,NaN,NaN,-
01/21/2004 06:59,2004,1,21,6,59,NaN,NaN,-
01/22/2004 03:01,2004,1,22,3,1,NaN,NaN,-
01/22/2004 05:01,2004,1,22,5,1,153.361,0.812,B
01/22/2004 16:25,2004,1,22,16,25,152.812,0.720,B
01/22/2004 18:25,2004,1,22,18,25,152.313,0.694,B
01/22/2004 20:25,2004,1,22,20,25,151.358,0.669,B
01/22/2004 22:25,2004,1,22,22,25,151.602,0.655,B
01/23/2004 00:26,2004,1,23,0,26,153.179,0.648,B
01/23/2004 02:26,2004,1,23,2,26,152.671,0.660,B
01/23/2004 04:26,2004,1,23,4,26,152.730,0.660,B
01/23/2004 06:26,2004,1,23,6,26,151.416,0.686,B
01/23/2004 08:26,2004,1,23,8,26,152.846,0.655,B
01/23/2004 10:26,2004,1,23,10,26,152.544,0.639,B
01/23/2004 12:26,2004,1,23,12,26,151.796,0.636,B
01/23/2004 14:26,2004,1,23,14,26,152.778,0.641,B
01/23/2004 16:26,2004,1,23,16,26,153.658,0.680,B
01/23/2004 18:26,2004,1,23,18,26,151.332,0.641,B
01/23/2004 20:26,2004,1,23,20,26,152.011,0.654,B
01/23/2004 22:26,2004,1,23,22,26,152.761,0.670,B
01/24/2004 00:26,2004,1,24,0,26,151.860,0.677,B
01/24/2004 02:26,2004,1,24,2,26,151.853,0.684,B
01/24/2004 04:26,2004,1,24,4,26,151.698,0.698,B
01/24/2004 06:26,2004,1,24,6,26,152.050,0.714,B
01/24/2004 08:26,2004,1,24,8,26,153.180,0.721,B
01/24/2004 10:26,2004,1,24,10,26,151.810,0.722,B
01/24/2004 12:26,2004,1,24,12,26,152.209,0.743,B
01/24/2004 14:26,2004,1,24,14,26,152.940,0.759,B
01/24/2004 16:26,2004,1,24,16,26,152.166,0.768,B
01/24/2004 18:26,2004,1,24,18,26,151.623,0.791,B
01/24/2004 20:26,2004,1,24,20,26,152.558,0.822,B
01/24/2004 22:26,2004,1,24,22,26,152.588,0.851,B
01/25/2004 00:26,2004,1,25,0,26,151.643,0.873,B
01/25/2004 02:26,2004,1,25,2,26,152.423,0.897,B
01/25/2004 04:26,2004,1,25,4,26,NaN,NaN,-
01/27/2004 00:06,2004,1,27,0,6,NaN,NaN,-
01/27/2004 02:06,2004,1,27,2,6,151.992,0.542,B
01/27/2004 04:06,2004,1,27,4,6,151.387,0.655,B
01/27/2004 06:06,2004,1,27,6,6,151.062,0.722,B
01/27/2004 08:06,2004,1,27,8,6,151.763,0.725,B
01/27/2004 10:06,2004,1,27,10,6,153.107,0.750,B
01/27/2004 12:06,2004,1,27,12,6,150.728,0.703,B
01/27/2004 14:06,2004,1,27,14,6,152.175,0.690,B
01/27/2004 16:06,2004,1,27,16,6,152.262,0.691,B
01/27/2004 18:06,2004,1,27,18,6,152.254,0.705,B
01/27/2004 20:06,2004,1,27,20,6,153.260,0.788,B
01/27/2004 22:06,2004,1,27,22,6,153.365,0.813,B
01/28/2004 00:06,2004,1,28,0,6,152.289,0.807,B
01/28/2004 02:06,2004,1,28,2,6,152.323,0.799,B
01/28/2004 04:06,2004,1,28,4,6,152.130,0.790,B
01/28/2004 06:06,2004,1,28,6,6,152.334,0.791,B
01/28/2004 08:06,2004,1,28,8,6,151.959,0.806,B
01/28/2004 10:06,2004,1,28,10,6,151.225,0.817,B
01/28/2004 12:06,2004,1,28,12,6,151.839,0.823,B
01/28/2004 14:06,2004,1,28,14,6,152.223,0.830,B
01/28/2004 16:06,2004,1,28,16,6,150.381,0.824,B
01/28/2004 18:06,2004,1,28,18,6,151.756,0.784,B
01/28/2004 20:06,2004,1,28,20,6,153.229,0.828,B
01/28/2004 22:06,2004,1,28,22,6,153.260,0.875,B
01/29/2004 00:06,2004,1,29,0,6,153.284,0.892,B
01/29/2004 02:06,2004,1,29,2,6,152.484,0.919,B
01/29/2004 04:06,2004,1,29,4,6,152.849,0.906,B
01/29/2004 06:06,2004,1,29,6,6,152.847,0.870,B
01/29/2004 08:06,2004,1,29,8,6,153.049,0.828,B
01/29/2004 10:06,2004,1,29,10,6,152.066,0.805,B
01/29/2004 12:06,2004,1,29,12,6,152.358,0.807,B
01/29/2004 14:06,2004,1,29,14,6,151.542,0.798,B
01/29/2004 16:06,2004,1,29,16,6,152.222,0.803,B
01/29/2004 18:06,2004,1,29,18,6,151.734,0.805,B
01/29/2004 20:06,2004,1,29,20,6,152.617,0.811,B
01/29/2004 22:06,2004,1,29,22,6,151.713,0.766,B
01/30/2004 00:06,2004,1,30,0,6,151.975,0.742,B
01/30/2004 02:06,2004,1,30,2,6,152.617,0.753,B
01/30/2004 04:07,2004,1,30,4,7,151.721,0.745,B
01/30/2004 06:07,2004,1,30,6,7,153.299,0.756,B
01/30/2004 08:07,2004,1,30,8,7,151.927,0.748,B
01/30/2004 10:07,2004,1,30,10,7,151.955,0.734,B
01/30/2004 12:07,2004,1,30,12,7,151.181,0.707,B
01/30/2004 14:07,2004,1,30,14,7,152.324,0.724,B
01/30/2004 16:07,2004,1,30,16,7,153.024,0.753,B
01/30/2004 18:08,2004,1,30,18,8,152.577,0.750,B
01/30/2004 20:08,2004,1,30,20,8,152.811,0.722,B
01/30/2004 22:08,2004,1,30,22,8,151.736,0.675,B
01/31/2004 00:08,2004,1,31,0,8,NaN,NaN,-
01/31/2004 02:08,2004,1,31,2,8,152.938,0.585,B
01/31/2004 04:08,2004,1,31,4,8,151.445,0.583,B
01/31/2004 06:08,2004,1,31,6,8,151.927,0.598,B
01/31/2004 08:08,2004,1,31,8,8,152.185,0.609,B
01/31/2004 10:08,2004,1,31,10,8,151.615,0.616,B
01/31/2004 12:08,2004,1,31,12,8,151.616,0.633,B
01/31/2004 14:08,2004,1,31,14,8,151.152,0.650,B
01/31/2004 16:08,2004,1,31,16,8,152.762,0.677,B
01/31/2004 18:08,2004,1,31,18,8,151.515,0.633,B
01/31/2004 20:08,2004,1,31,20,8,152.086,0.531,B
01/31/2004 22:08,2004,1,31,22,8,151.898,0.544,B
02/01/2004 00:08,2004,2,1,0,8,152.851,0.548,B
02/01/2004 02:08,2004,2,1,2,8,151.801,0.544,B
02/01/2004 04:08,2004,2,1,4,8,NaN,NaN,-
02/01/2004 06:32,2004,2,1,6,32,NaN,NaN,-
02/01/2004 08:32,2004,2,1,8,32,NaN,NaN,-
02/01/2004 10:32,2004,2,1,10,32,NaN,NaN,-
02/01/2004 12:32,2004,2,1,12,32,NaN,NaN,-
02/01/2004 14:32,2004,2,1,14,32,NaN,NaN,-
02/01/2004 16:32,2004,2,1,16,32,NaN,NaN,-
02/01/2004 18:32,2004,2,1,18,32,NaN,NaN,-
02/01/2004 20:32,2004,2,1,20,32,NaN,NaN,-
02/01/2004 22:32,2004,2,1,22,32,NaN,NaN,-
02/02/2004 00:32,2004,2,2,0,32,NaN,NaN,-
02/02/2004 02:32,2004,2,2,2,32,NaN,NaN,-
02/02/2004 04:32,2004,2,2,4,32,NaN,NaN,-
02/02/2004 06:51,2004,2,2,6,51,NaN,NaN,-
02/02/2004 20:51,2004,2,2,20,51,NaN,NaN,-
02/02/2004 22:51,2004,2,2,22,51,NaN,NaN,-
02/03/2004 00:51,2004,2,3,0,51,NaN,NaN,-
02/03/2004 02:51,2004,2,3,2,51,NaN,NaN,-
02/03/2004 04:51,2004,2,3,4,51,NaN,NaN,-
02/03/2004 06:51,2004,2,3,6,51,NaN,NaN,-
02/03/2004 08:51,2004,2,3,8,51,NaN,NaN,-
