# comment: AGAGE GCMS-Medusa measurements. Output from GCWerks. See Miller et al. (2008), https://doi.org/10.1021/ac702084k; Arnold et al. (2012), https://doi.org/10.1021/ac300373e; or Prinn et al. (2018), https://doi.org/10.5194/essd-10-985-2018
# data_owner_email: paul.krummel@csiro.au
# data_owner: Paul Krummel
# station_long_name: Kennaook/Cape Grim, Tasmania, Australia
# inlet_base_elevation_masl: 94.000000
# inlet_latitude: -40.683333
# inlet_longitude: 144.689444
# inlet_comment: multiple inlets have been used at the station, all in close proximity to each other.
# instrument: agilent_5975
# instrument_date: 2012-08-01 00:00:00
# instrument_comment: upgraded MSD detector with generally improved precisions
# instrument_1: agilent_5973
# instrument_date_1: 2004-01-01 00:00:00
# instrument_comment_1: original MSD detector
# data_dir: /agage/capegrim-medusa
# species: hfc-134a
# calibration_scale: SIO-05
# units: ppt
# file_created: 2024-11-11 07:21:03
# flag: B for baseline, P for pollution event
# The time (DD MM YYYY hh min) indicates sample time
# mm/dd/yyyy hh:mm, year, month, day, hour, min, mole_fraction, repeability, flag
01/21/2004 00:38,2004,1,21,0,38,NaN,NaN,-
01/21/2004 01:38,2004,1,21,1,38,NaN,NaN,-
01/21/2004 02:38,2004,1,21,2,38,NaN,NaN,-
01/21/2004 04:59,2004,1,21,4,59,NaN,NaN,-
01/21/2004 05:59,2004,1,21,5,59,NaN,NaN,-
01/21/2004 06:59,2004,1,21,6,59,NaN,NaN,-
01/22/2004 03:01,2004,1,22,3,1,24.120,0.127,B
01/22/2004 05:01,2004,1,22,5,1,24.173,0.124,B
01/22/2004 16:25,2004,1,22,16,25,24.045,0.134,B
01/22/2004 18:25,2004,1,22,18,25,24.148,0.136,B
01/22/2004 20:25,2004,1,22,20,25,24.149,0.132,B
01/22/2004 22:25,2004,1,22,22,25,24.341,0.130,B
01/23/2004 00:26,2004,1,23,0,26,24.282,0.131,B
01/23/2004 02:26,2004,1,23,2,26,24.358,0.135,B
01/23/2004 04:26,2004,1,23,4,26,24.102,0.136,B
01/23/2004 06:26,2004,1,23,6,26,24.303,0.137,B
01/23/2004 08:26,2004,1,23,8,26,24.403,0.130,B
01/23/2004 10:26,2004,1,23,10,26,24.240,0.129,B
01/23/2004 12:26,2004,1,23,12,26,24.333,0.130,B
01/23/2004 14:26,2004,1,23,14,26,24.211,0.137,B
01/23/2004 16:26,2004,1,23,16,26,24.357,0.145,B
01/23/2004 18:26,2004,1,23,18,26,24.435,0.146,B
01/23/2004 20:26,2004,1,23,20,26,24.438,0.147,B
01/23/2004 22:26,2004,1,23,22,26,24.272,0.148,B
01/24/2004 00:26,2004,1,24,0,26,24.574,0.164,B
01/24/2004 02:26,2004,1,24,2,26,24.589,0.167,B
01/24/2004 04:26,2004,1,24,4,26,24.209,0.168,B
01/24/2004 06:26,2004,1,24,6,26,24.417,0.172,B
01/24/2004 08:26,2004,1,24,8,26,24.306,0.172,B
01/24/2004 10:26,2004,1,24,10,26,24.386,0.177,B
01/24/2004 12:26,2004,1,24,12,26,24.472,0.172,B
01/24/2004 14:26,2004,1,24,14,26,24.418,0.176,B
01/24/2004 16:26,2004,1,24,16,26,24.370,0.177,B
01/24/2004 18:26,2004,1,24,18,26,24.428,0.179,B
01/24/2004 20:26,2004,1,24,20,26,24.549,0.186,B
01/24/2004 22:26,2004,1,24,22,26,24.407,0.192,B
01/25/2004 00:26,2004,1,25,0,26,24.469,0.199,B
01/25/2004 02:26,2004,1,25,2,26,24.390,0.198,B
01/25/2004 04:26,2004,1,25,4,26,NaN,NaN,-
01/27/2004 00:06,2004,1,27,0,6,NaN,NaN,-
01/27/2004 02:06,2004,1,27,2,6,24.456,0.134,B
01/27/2004 04:06,2004,1,27,4,6,24.441,0.125,B
01/27/2004 06:06,2004,1,27,6,6,24.310,0.120,B
01/27/2004 08:06,2004,1,27,8,6,24.171,0.120,B
01/27/2004 10:06,2004,1,27,10,6,24.273,0.117,B
01/27/2004 12:06,2004,1,27,12,6,24.303,0.110,B
01/27/2004 14:06,2004,1,27,14,6,24.416,0.107,B
01/27/2004 16:06,2004,1,27,16,6,24.684,0.109,B
01/27/2004 18:06,2004,1,27,18,6,24.869,0.109,B
01/27/2004 20:06,2004,1,27,20,6,25.305,0.111,P
01/27/2004 22:06,2004,1,27,22,6,25.386,0.109,P
01/28/2004 00:06,2004,1,28,0,6,24.588,0.106,B
01/28/2004 02:06,2004,1,28,2,6,24.316,0.103,B
01/28/2004 04:06,2004,1,28,4,6,24.800,0.103,P
01/28/2004 06:06,2004,1,28,6,6,24.613,0.103,B
01/28/2004 08:06,2004,1,28,8,6,24.484,0.104,B
01/28/2004 10:06,2004,1,28,10,6,24.456,0.104,B
01/28/2004 12:06,2004,1,28,12,6,24.320,0.104,B
01/28/2004 14:06,2004,1,28,14,6,24.359,0.116,B
01/28/2004 16:06,2004,1,28,16,6,24.452,0.111,B
01/28/2004 18:06,2004,1,28,18,6,24.250,0.141,B
01/28/2004 20:06,2004,1,28,20,6,24.744,0.162,B
01/28/2004 22:06,2004,1,28,22,6,24.815,0.160,P
01/29/2004 00:06,2004,1,29,0,6,24.642,0.157,B
01/29/2004 02:06,2004,1,29,2,6,24.865,0.162,B
01/29/2004 04:06,2004,1,29,4,6,24.749,0.163,B
01/29/2004 06:06,2004,1,29,6,6,24.646,0.162,B
01/29/2004 08:06,2004,1,29,8,6,24.629,0.162,B
01/29/2004 10:06,2004,1,29,10,6,24.718,0.162,B
01/29/2004 12:06,2004,1,29,12,6,24.664,0.162,B
01/29/2004 14:06,2004,1,29,14,6,24.602,0.162,B
01/29/2004 16:06,2004,1,29,16,6,24.704,0.162,B
01/29/2004 18:06,2004,1,29,18,6,24.753,0.172,B
01/29/2004 20:06,2004,1,29,20,6,24.585,0.178,B
01/29/2004 22:06,2004,1,29,22,6,24.632,0.178,B
01/30/2004 00:06,2004,1,30,0,6,24.854,0.183,B
01/30/2004 02:06,2004,1,30,2,6,24.970,0.189,P
01/30/2004 04:07,2004,1,30,4,7,24.952,0.192,P
01/30/2004 06:07,2004,1,30,6,7,24.912,0.197,B
01/30/2004 08:07,2004,1,30,8,7,24.585,0.197,B
01/30/2004 10:07,2004,1,30,10,7,24.607,0.195,B
01/30/2004 12:07,2004,1,30,12,7,24.625,0.200,B
01/30/2004 14:07,2004,1,30,14,7,24.590,0.203,B
01/30/2004 16:07,2004,1,30,16,7,24.680,0.195,B
01/30/2004 18:08,2004,1,30,18,8,24.447,0.168,B
01/30/2004 20:08,2004,1,30,20,8,24.471,0.144,B
01/30/2004 22:08,2004,1,30,22,8,24.618,0.145,B
01/31/2004 00:08,2004,1,31,0,8,NaN,NaN,-
01/31/2004 02:08,2004,1,31,2,8,24.338,0.141,B
01/31/2004 04:08,2004,1,31,4,8,24.447,0.143,B
01/31/2004 06:08,2004,1,31,6,8,24.563,0.147,B
01/31/2004 08:08,2004,1,31,8,8,24.680,0.151,B
01/31/2004 10:08,2004,1,31,10,8,24.653,0.155,B
01/31/2004 12:08,2004,1,31,12,8,24.414,0.158,B
01/31/2004 14:08,2004,1,31,14,8,24.356,0.163,B
01/31/2004 16:08,2004,1,31,16,8,24.793,0.171,B
01/31/2004 18:08,2004,1,31,18,8,24.468,0.157,B
01/31/2004 20:08,2004,1,31,20,8,24.508,0.143,B
01/31/2004 22:08,2004,1,31,22,8,24.406,0.148,B
02/01/2004 00:08,2004,2,1,0,8,24.446,0.148,B
02/01/2004 02:08,2004,2,1,2,8,24.490,0.149,B
02/01/2004 04:08,2004,2,1,4,8,NaN,NaN,-
02/01/2004 06:32,2004,2,1,6,32,NaN,NaN,-
02/01/2004 08:32,2004,2,1,8,32,NaN,NaN,-
02/01/2004 10:32,2004,2,1,10,32,NaN,NaN,-
02/01/2004 12:32,2004,2,1,12,32,NaN,NaN,-
02/01/2004 14:32,2004,2,1,14,32,NaN,NaN,-
02/01/2004 16:32,2004,2,1,16,32,NaN,NaN,-
02/01/2004 18:32,2004,2,1,18,32,NaN,NaN,-
02/01/2004 20:32,2004,2,1,20,32,NaN,NaN,-
02/01/2004 22:32,2004,2,1,22,32,NaN,NaN,-
02/02/2004 00:32,2004,2,2,0,32,NaN,NaN,-
02/02/2004 02:32,2004,2,2,2,32,NaN,NaN,-
02/02/2004 04:32,2004,2,2,4,32,NaN,NaN,-
02/02/2004 06:51,2004,2,2,6,51,NaN,NaN,-
02/02/2004 20:51,2004,2,2,20,51,NaN,NaN,-
02/02/2004 22:51,2004,2,2,22,51,NaN,NaN,-
02/03/2004 00:51,2004,2,3,0,51,NaN,NaN,-
02/03/2004 02:51,2004,2,3,2,51,NaN,NaN,-
02/03/2004 04:51,2004,2,3,4,51,NaN,NaN,-
02/03/2004 06:51,2004,2,3,6,51,NaN,NaN,-
02/03/2004 08:51,2004,2,3,8,51,NaN,NaN,-
